NACE_2008_mix|NACE2008_mix_label|HILUCS_l2|HILUCS_l2_label|HILUCS_mix(*)|HILUCS_mix_label|WALOUS_HILUCS_Final|WALOUS_mix_label
49|Transports terrestres et transport par conduites|4_1|TransportNetworks|4_1_1|RoadTransport|4_1_1|RoadTransport
50|Transports par eau|4_1|TransportNetworks|4_1_4|WaterTransport|4_1_4|WaterTransport
51|Transports aériens|4_1|TransportNetworks|4_1_3|AirTransport|4_1_3|AirTransport
52|Entreposage et services auxiliaires des transports|4_2|LogisticalAndStorageServices|4_2|LogisticalAndStorageServices|4_2|LogisticalAndStorageServices
53|Activités de poste et de courrier|3_2|FinancialProfessionalAndInformationServices|3_2_3|InformationAndCommunicationServices|3_2|FinancialProfessionalAndInformationServices
55|Hébergement|3_1|CommercialServices|3_1_3|AccommodationAndFoodServices|3_1|CommercialServices
56|Restauration|3_1|CommercialServices|3_1_3|AccommodationAndFoodServices|3_1|CommercialServices
58|Édition|3_2|FinancialProfessionalAndInformationServices|3_2_3|InformationAndCommunicationServices|3_2|FinancialProfessionalAndInformationServices
59|Production de films cinématographiques, de vidéo et de programmes de télévision; enregistrement sonore et édition musicale|3_2|FinancialProfessionalAndInformationServices|3_2_3|InformationAndCommunicationServices|3_2|FinancialProfessionalAndInformationServices
60|Programmation et diffusion de programmes de radio et de télévision|3_2|FinancialProfessionalAndInformationServices|3_2_3|InformationAndCommunicationServices|3_2|FinancialProfessionalAndInformationServices
61|Télécommunications|3_2|FinancialProfessionalAndInformationServices|3_2_3|InformationAndCommunicationServices|3_2|FinancialProfessionalAndInformationServices
62|Programmation, conseil et autres activités informatiques|3_2|FinancialProfessionalAndInformationServices|3_2_3|InformationAndCommunicationServices|3_2|FinancialProfessionalAndInformationServices
63|Services d'information|3_2|FinancialProfessionalAndInformationServices|3_2_3|InformationAndCommunicationServices|3_2|FinancialProfessionalAndInformationServices
64|Activités des services financiers, hors assurance et caisses de retraite|3_2|FinancialProfessionalAndInformationServices|3_2_1|FinancialAndInsuranceServices|3_2|FinancialProfessionalAndInformationServices
